X,avg_log2FC,pct.1,pct.2,p_val_adj,,,
Creb5,2.542368803,0.221,0.046,4.29E-107,,,
Marchf1,2.493934769,0.354,0.144,5.23E-113,,,
Eif2ak2,2.062642934,0.064,0.022,2.09E-14,,,
Dusp16,1.853727391,0.389,0.137,1E-140,,,
Klhl1,1.782717423,0.366,0.192,4.15E-76,,,
Hrk,1.772654285,0.169,0.066,1.69E-41,,,
Atp1a4,1.735371781,0.056,0.024,1.24E-08,,,
Anln,1.624385551,0.084,0.034,2.22E-16,,,
F13a1,1.607664272,0.071,0.032,3.94E-10,,,
Cartpt,1.567203483,0.126,0.056,1.1E-22,,,
Slc44a5,1.535948533,0.179,0.096,1.09E-23,,,
Arid5a,1.500847927,0.087,0.038,1.65E-14,,,
Nme8,1.498003063,0.055,0.023,2.29E-08,,,
Rnf213,1.45513896,0.065,0.037,0.000329072,,,
Jun,1.367384954,0.196,0.099,4.99E-31,,,
Chmp4c,1.359345017,0.12,0.066,1.21E-12,,,
Dapp1,1.355704676,0.06,0.028,0.000000175,,,
Hao2,1.345864566,0.071,0.033,4.72E-09,,,
Fam205c,1.238234437,0.199,0.106,2E-27,,,
Layn,1.215780576,0.058,0.028,0.00000159,,,
Btk,-2.081059641,0.07,0.191,2.3E-49,,,
Arc,-1.715473627,0.061,0.2,4.64E-65,,,
Adam2,-1.677878893,0.106,0.252,1.21E-56,,,
Ubash3a,-1.641936871,0.06,0.127,2.79E-19,,,
Npas4,-1.492548914,0.078,0.18,7.4E-36,,,
Prtg,-1.479295199,0.083,0.194,1E-38,,,
Dusp6,-1.47617696,0.072,0.205,5.54E-56,,,
Egr1,-1.362677714,0.12,0.289,1.55E-68,,,
Junb,-1.358722609,0.143,0.321,2.16E-68,,,
Ror2,-1.313179608,0.098,0.207,2.35E-34,,,
Sgcd,-1.295013309,0.429,0.549,9.82E-32,,,
Asap3,-1.23773936,0.107,0.194,1.05E-22,,,
Abhd4,-1.235184659,0.064,0.105,0.00000264,,,
Gng13,-1.228199241,0.058,0.141,9.62E-28,,,
Pim3,-1.226141289,0.059,0.139,4.96E-26,,,
Rassf3,-1.210632848,0.075,0.192,1.54E-43,,,
Shcbp1l,-1.200032296,0.054,0.086,0.001294791,,,
Snrpf,-1.18968989,0.302,0.571,1.28E-120,,,
Snhg9,-1.177009606,0.099,0.217,1.03E-38,,,
Uqcr11,-1.164933918,0.165,0.322,1.44E-52,,,
